municipios,vacinados_parcial_F_17,vacinados_parcial_M_17,vacinados_completo_F_17,vacinados_completo_M_17,vacinados_parcial_F_35,vacinados_parcial_M_35,vacinados_completo_F_35,vacinados_completo_M_35,vacinados_parcial_F_59,vacinados_parcial_M_59,vacinados_completo_F_59,vacinados_completo_M_59,vacinados_parcial_F_200,vacinados_parcial_M_200,vacinados_completo_F_200,vacinados_completo_M_200,date
MONTE ALEGRE DE SERGIPE,0.0,0.0,0.0,0.0,22.0,16.0,22.0,12.0,24.0,26.0,24.0,19.0,2.0,15.0,2.0,1.0,2021-03-01
RIACHAO DO DANTAS,0.0,0.0,0.0,0.0,81.0,48.0,81.0,38.0,58.0,49.0,58.0,44.0,1.0,37.0,1.0,1.0,2021-03-01
ITAPORANGA D'AJUDA,0.0,0.0,0.0,0.0,71.0,43.0,71.0,34.0,75.0,78.0,75.0,54.0,5.0,33.0,5.0,2.0,2021-03-01
NEOPOLIS,0.0,0.0,0.0,0.0,24.0,31.0,24.0,12.0,57.0,59.0,57.0,25.0,2.0,23.0,2.0,8.0,2021-03-01
CEDRO DE SAO JOAO,0.0,0.0,0.0,0.0,38.0,23.0,38.0,16.0,22.0,10.0,22.0,8.0,0.0,9.0,0.0,1.0,2021-03-01
PORTO DA FOLHA,0.0,0.0,0.0,0.0,104.0,83.0,104.0,83.0,114.0,96.0,114.0,91.0,18.0,60.0,18.0,20.0,2021-03-01
GARARU,0.0,0.0,0.0,0.0,11.0,1.0,11.0,2.0,32.0,22.0,32.0,27.0,0.0,20.0,0.0,0.0,2021-03-01
NOSSA SENHORA DAS DORES,0.0,0.0,0.0,0.0,119.0,52.0,119.0,39.0,82.0,93.0,82.0,66.0,1.0,43.0,1.0,8.0,2021-03-01
PIRAMBU,0.0,0.0,0.0,0.0,38.0,12.0,38.0,11.0,32.0,30.0,32.0,27.0,1.0,9.0,1.0,1.0,2021-03-01
INDIAROBA,0.0,0.0,0.0,0.0,19.0,18.0,19.0,16.0,50.0,38.0,50.0,32.0,4.0,29.0,4.0,8.0,2021-03-01
AQUIDABA,0.0,0.0,0.0,0.0,56.0,32.0,56.0,28.0,63.0,57.0,63.0,49.0,11.0,52.0,11.0,10.0,2021-03-01
ILHA DAS FLORES,0.0,0.0,0.0,0.0,9.0,6.0,9.0,3.0,26.0,22.0,26.0,12.0,0.0,11.0,0.0,0.0,2021-03-01
SAO CRISTOVAO,0.0,0.0,0.0,0.0,11.0,48.0,11.0,8.0,16.0,86.0,16.0,8.0,0.0,16.0,0.0,0.0,2021-03-01
MACAMBIRA,0.0,0.0,0.0,0.0,14.0,7.0,14.0,6.0,23.0,5.0,23.0,6.0,2.0,14.0,2.0,1.0,2021-03-01
ARAUA,0.0,0.0,0.0,0.0,4.0,13.0,4.0,3.0,34.0,29.0,34.0,19.0,3.0,12.0,3.0,0.0,2021-03-01
JAPARATUBA,0.0,0.0,0.0,0.0,47.0,21.0,47.0,12.0,58.0,62.0,58.0,49.0,0.0,19.0,0.0,2.0,2021-03-01
MALHADOR,0.0,0.0,0.0,0.0,24.0,5.0,24.0,5.0,48.0,17.0,48.0,17.0,0.0,20.0,0.0,4.0,2021-03-01
NOSSA SENHORA APARECIDA,0.0,0.0,0.0,0.0,36.0,13.0,36.0,13.0,28.0,20.0,28.0,16.0,0.0,15.0,0.0,3.0,2021-03-01
PROPRIA,0.0,0.0,0.0,0.0,53.0,66.0,53.0,12.0,121.0,168.0,121.0,37.0,11.0,52.0,11.0,13.0,2021-03-01
POCO VERDE,0.0,0.0,0.0,0.0,49.0,32.0,49.0,22.0,61.0,32.0,61.0,30.0,2.0,40.0,2.0,1.0,2021-03-01
CARIRA,0.0,0.0,0.0,0.0,29.0,14.0,29.0,12.0,49.0,43.0,49.0,31.0,3.0,41.0,3.0,2.0,2021-03-01
BREJO GRANDE,0.0,0.0,0.0,0.0,19.0,6.0,19.0,6.0,21.0,6.0,21.0,4.0,0.0,8.0,0.0,0.0,2021-03-01
PEDRA MOLE,0.0,0.0,0.0,0.0,10.0,3.0,10.0,3.0,17.0,6.0,17.0,4.0,0.0,1.0,0.0,0.0,2021-03-01
BARRA DOS COQUEIROS,0.0,0.0,0.0,0.0,57.0,41.0,57.0,15.0,88.0,65.0,88.0,34.0,2.0,22.0,2.0,1.0,2021-03-01
DIVINA PASTORA,0.0,0.0,0.0,0.0,38.0,10.0,38.0,6.0,35.0,36.0,35.0,32.0,0.0,6.0,0.0,1.0,2021-03-01
SANTA ROSA DE LIMA,0.0,0.0,0.0,0.0,10.0,4.0,10.0,0.0,22.0,21.0,22.0,12.0,0.0,13.0,0.0,2.0,2021-03-01
SANTANA DO SAO FRANCISCO,0.0,0.0,0.0,0.0,7.0,10.0,7.0,4.0,16.0,22.0,16.0,18.0,0.0,8.0,0.0,1.0,2021-03-01
PACATUBA,0.0,0.0,0.0,0.0,23.0,17.0,23.0,15.0,33.0,29.0,33.0,28.0,0.0,18.0,0.0,1.0,2021-03-01
SALGADO,0.0,0.0,0.0,0.0,50.0,16.0,50.0,14.0,56.0,27.0,56.0,20.0,9.0,42.0,9.0,4.0,2021-03-01
RIBEIROPOLIS,0.0,0.0,0.0,0.0,45.0,29.0,45.0,28.0,76.0,47.0,76.0,44.0,23.0,61.0,23.0,30.0,2021-03-01
PEDRINHAS,0.0,0.0,0.0,0.0,14.0,8.0,14.0,4.0,6.0,17.0,6.0,10.0,4.0,17.0,4.0,2.0,2021-03-01
CAMPO DO BRITO,0.0,0.0,0.0,0.0,61.0,29.0,61.0,23.0,53.0,33.0,53.0,24.0,7.0,40.0,7.0,5.0,2021-03-01
CRISTINAPOLIS,0.0,0.0,0.0,0.0,48.0,49.0,48.0,28.0,50.0,46.0,50.0,31.0,3.0,2.0,3.0,3.0,2021-03-01
CANHOBA,0.0,0.0,0.0,0.0,7.0,11.0,7.0,3.0,15.0,31.0,15.0,2.0,1.0,7.0,1.0,0.0,2021-03-01
MALHADA DOS BOIS,0.0,0.0,0.0,0.0,5.0,7.0,5.0,3.0,13.0,23.0,13.0,11.0,5.0,1.0,5.0,3.0,2021-03-01
CARMOPOLIS,0.0,0.0,0.0,0.0,26.0,10.0,26.0,4.0,61.0,34.0,61.0,24.0,4.0,8.0,4.0,1.0,2021-03-01
SIRIRI,0.0,0.0,0.0,0.0,21.0,11.0,21.0,11.0,39.0,17.0,39.0,16.0,1.0,16.0,1.0,1.0,2021-03-01
NOSSA SENHORA DE LOURDES,0.0,0.0,0.0,0.0,13.0,10.0,13.0,7.0,14.0,29.0,14.0,22.0,2.0,11.0,2.0,3.0,2021-03-01
ITABI,0.0,0.0,0.0,0.0,8.0,7.0,8.0,2.0,13.0,14.0,13.0,1.0,0.0,7.0,0.0,0.0,2021-03-01
SAO FRANCISCO,0.0,0.0,0.0,0.0,8.0,6.0,8.0,3.0,8.0,14.0,8.0,11.0,0.0,3.0,0.0,0.0,2021-03-01
UMBAUBA,0.0,0.0,0.0,0.0,40.0,42.0,40.0,23.0,59.0,75.0,59.0,49.0,4.0,26.0,4.0,3.0,2021-03-01
ROSARIO DO CATETE,0.0,0.0,0.0,0.0,23.0,16.0,23.0,12.0,59.0,24.0,59.0,15.0,6.0,15.0,6.0,1.0,2021-03-01
CUMBE,0.0,0.0,0.0,0.0,11.0,5.0,11.0,5.0,15.0,24.0,15.0,18.0,0.0,8.0,0.0,0.0,2021-03-01
RIACHUELO,0.0,0.0,0.0,0.0,45.0,10.0,45.0,10.0,61.0,35.0,61.0,37.0,4.0,6.0,4.0,3.0,2021-03-01
GENERAL MAYNARD,0.0,0.0,0.0,0.0,23.0,9.0,23.0,6.0,20.0,14.0,20.0,13.0,0.0,5.0,0.0,1.0,2021-03-01
MURIBECA,0.0,0.0,0.0,0.0,23.0,19.0,23.0,11.0,24.0,16.0,24.0,12.0,2.0,15.0,2.0,0.0,2021-03-01
GRACHO CARDOSO,0.0,0.0,0.0,0.0,11.0,8.0,11.0,6.0,12.0,22.0,12.0,19.0,1.0,12.0,1.0,0.0,2021-03-01
FEIRA NOVA,0.0,0.0,0.0,0.0,8.0,4.0,8.0,3.0,17.0,14.0,17.0,12.0,0.0,2.0,0.0,0.0,2021-03-01
SAO DOMINGOS,0.0,0.0,0.0,0.0,10.0,3.0,10.0,2.0,44.0,9.0,44.0,7.0,2.0,24.0,2.0,1.0,2021-03-01
TELHA,0.0,0.0,0.0,0.0,12.0,9.0,12.0,5.0,19.0,26.0,19.0,17.0,3.0,5.0,3.0,2.0,2021-03-01
SANTO AMARO DAS BROTAS,0.0,0.0,0.0,0.0,17.0,8.0,17.0,8.0,54.0,31.0,54.0,27.0,2.0,14.0,2.0,4.0,2021-03-01
AMPARO DE SAO FRANCISCO,0.0,0.0,0.0,0.0,9.0,5.0,9.0,5.0,9.0,17.0,9.0,15.0,1.0,0.0,1.0,0.0,2021-03-01
NOSSA SENHORA DO SOCORRO,0.0,0.0,0.0,0.0,215.0,183.0,215.0,85.0,468.0,327.0,468.0,162.0,1071.0,3252.0,1071.0,560.0,2021-04-01
LAGARTO,0.0,0.0,0.0,0.0,408.0,528.0,408.0,211.0,483.0,411.0,483.0,205.0,309.0,3164.0,309.0,183.0,2021-04-01
CANINDE DE SAO FRANCISCO,0.0,0.0,0.0,0.0,31.0,22.0,31.0,11.0,61.0,85.0,61.0,45.0,179.0,603.0,179.0,146.0,2021-04-01
MARUIM,0.0,0.0,0.0,0.0,29.0,14.0,29.0,13.0,98.0,48.0,98.0,42.0,188.0,390.0,188.0,107.0,2021-04-01
ARACAJU,1.0,2.0,1.0,0.0,3526.0,1833.0,3526.0,1072.0,4801.0,2773.0,4801.0,1643.0,1484.0,15400.0,1484.0,939.0,2021-04-01
TOBIAS BARRETO,0.0,0.0,0.0,0.0,119.0,135.0,119.0,63.0,148.0,185.0,148.0,81.0,270.0,1782.0,270.0,196.0,2021-04-01
LARANJEIRAS,0.0,0.0,0.0,0.0,44.0,16.0,44.0,14.0,156.0,87.0,156.0,67.0,73.0,495.0,73.0,35.0,2021-04-01
CAPELA,0.0,0.0,0.0,0.0,75.0,89.0,75.0,26.0,94.0,118.0,94.0,50.0,112.0,894.0,112.0,73.0,2021-04-01
ESTANCIA,0.0,0.0,0.0,0.0,189.0,136.0,189.0,76.0,237.0,203.0,237.0,88.0,346.0,1853.0,346.0,186.0,2021-04-01
MOITA BONITA,0.0,0.0,0.0,0.0,34.0,14.0,34.0,12.0,43.0,15.0,43.0,11.0,218.0,521.0,218.0,139.0,2021-04-01
TOMAR DO GERU,0.0,0.0,0.0,0.0,19.0,12.0,19.0,10.0,32.0,35.0,32.0,33.0,54.0,366.0,54.0,44.0,2021-04-01
ITABAIANINHA,0.0,0.0,0.0,0.0,68.0,88.0,68.0,36.0,95.0,96.0,95.0,53.0,79.0,1105.0,79.0,55.0,2021-04-01
ITABAIANA,0.0,0.0,0.0,0.0,268.0,232.0,268.0,123.0,365.0,313.0,365.0,181.0,1048.0,3007.0,1048.0,687.0,2021-04-01
NOSSA SENHORA DA GLORIA,0.0,1.0,0.0,1.0,59.0,75.0,59.0,25.0,103.0,127.0,103.0,63.0,330.0,1070.0,330.0,280.0,2021-04-01
FREI PAULO,0.0,0.0,0.0,0.0,62.0,37.0,62.0,32.0,37.0,31.0,37.0,21.0,209.0,550.0,209.0,146.0,2021-04-01
SAO MIGUEL DO ALEIXO,0.0,0.0,0.0,0.0,26.0,15.0,26.0,13.0,18.0,12.0,18.0,10.0,54.0,160.0,54.0,27.0,2021-04-01
BOQUIM,0.0,0.0,0.0,0.0,50.0,54.0,50.0,23.0,88.0,98.0,88.0,40.0,146.0,849.0,146.0,101.0,2021-04-01
JAPOATA,0.0,0.0,0.0,0.0,49.0,23.0,49.0,17.0,49.0,30.0,49.0,19.0,21.0,390.0,21.0,16.0,2021-04-01
SIMAO DIAS,0.0,0.0,0.0,0.0,97.0,86.0,97.0,37.0,131.0,93.0,131.0,62.0,185.0,1384.0,185.0,118.0,2021-04-01
POCO REDONDO,0.0,0.0,0.0,0.0,49.0,37.0,49.0,15.0,96.0,74.0,96.0,46.0,312.0,787.0,312.0,221.0,2021-04-01
SANTA LUZIA DO ITANHY,0.0,0.0,0.0,0.0,21.0,18.0,21.0,12.0,48.0,31.0,48.0,27.0,35.0,302.0,35.0,30.0,2021-04-01
PINHAO,0.0,0.0,0.0,0.0,13.0,14.0,13.0,13.0,18.0,21.0,18.0,16.0,92.0,253.0,92.0,63.0,2021-04-01
AREIA BRANCA,0.0,0.0,0.0,0.0,46.0,27.0,46.0,25.0,85.0,41.0,85.0,38.0,79.0,526.0,79.0,46.0,2021-04-01
MONTE ALEGRE DE SERGIPE,0.0,0.0,0.0,0.0,45.0,25.0,45.0,16.0,41.0,37.0,41.0,31.0,143.0,457.0,143.0,141.0,2021-04-01
RIACHAO DO DANTAS,0.0,0.0,0.0,0.0,97.0,50.0,97.0,44.0,63.0,49.0,63.0,47.0,129.0,662.0,129.0,77.0,2021-04-01
ITAPORANGA D'AJUDA,0.0,0.0,0.0,0.0,79.0,62.0,79.0,40.0,107.0,107.0,107.0,66.0,131.0,913.0,131.0,93.0,2021-04-01
NEOPOLIS,0.0,0.0,0.0,0.0,40.0,37.0,40.0,29.0,131.0,81.0,131.0,60.0,66.0,650.0,66.0,44.0,2021-04-01
CEDRO DE SAO JOAO,0.0,0.0,0.0,0.0,44.0,24.0,44.0,22.0,24.0,18.0,24.0,18.0,37.0,195.0,37.0,27.0,2021-04-01
PORTO DA FOLHA,0.0,0.0,0.0,0.0,135.0,106.0,135.0,99.0,146.0,124.0,146.0,117.0,334.0,924.0,334.0,265.0,2021-04-01
GARARU,0.0,0.0,0.0,0.0,15.0,6.0,15.0,6.0,39.0,36.0,39.0,42.0,112.0,330.0,112.0,118.0,2021-04-01
NOSSA SENHORA DAS DORES,0.0,0.0,0.0,0.0,134.0,70.0,134.0,42.0,98.0,114.0,98.0,72.0,333.0,831.0,333.0,210.0,2021-04-01
PIRAMBU,0.0,0.0,0.0,0.0,41.0,17.0,41.0,17.0,37.0,38.0,37.0,35.0,78.0,275.0,78.0,56.0,2021-04-01
INDIAROBA,0.0,0.0,0.0,0.0,31.0,19.0,31.0,18.0,57.0,45.0,57.0,38.0,44.0,392.0,44.0,42.0,2021-04-01
AQUIDABA,0.0,0.0,0.0,0.0,71.0,45.0,71.0,33.0,81.0,74.0,81.0,65.0,68.0,649.0,68.0,65.0,2021-04-01
ILHA DAS FLORES,0.0,0.0,0.0,0.0,10.0,10.0,10.0,6.0,39.0,29.0,39.0,21.0,43.0,226.0,43.0,26.0,2021-04-01
SAO CRISTOVAO,0.0,0.0,0.0,0.0,11.0,50.0,11.0,8.0,16.0,87.0,16.0,8.0,4.0,254.0,4.0,2.0,2021-04-01
MACAMBIRA,0.0,0.0,0.0,0.0,16.0,11.0,16.0,9.0,27.0,9.0,27.0,9.0,128.0,266.0,128.0,76.0,2021-04-01
ARAUA,0.0,0.0,0.0,0.0,16.0,15.0,16.0,13.0,54.0,32.0,54.0,30.0,45.0,260.0,45.0,27.0,2021-04-01
JAPARATUBA,0.0,0.0,0.0,0.0,60.0,26.0,60.0,22.0,71.0,65.0,71.0,64.0,135.0,515.0,135.0,99.0,2021-04-01
MALHADOR,0.0,0.0,0.0,0.0,27.0,7.0,27.0,6.0,54.0,26.0,54.0,23.0,154.0,404.0,154.0,117.0,2021-04-01
NOSSA SENHORA APARECIDA,0.0,0.0,0.0,0.0,45.0,19.0,45.0,13.0,31.0,25.0,31.0,19.0,127.0,369.0,127.0,110.0,2021-04-01
PROPRIA,0.0,0.0,0.0,0.0,67.0,141.0,67.0,19.0,129.0,249.0,129.0,47.0,62.0,778.0,62.0,44.0,2021-04-01
POCO VERDE,0.0,0.0,0.0,0.0,65.0,59.0,65.0,28.0,72.0,50.0,72.0,35.0,91.0,928.0,91.0,69.0,2021-04-01
CARIRA,0.0,0.0,0.0,0.0,49.0,20.0,49.0,17.0,89.0,48.0,89.0,46.0,268.0,764.0,268.0,226.0,2021-04-01
BREJO GRANDE,0.0,0.0,0.0,0.0,23.0,13.0,23.0,6.0,25.0,11.0,25.0,7.0,18.0,127.0,18.0,14.0,2021-04-01
PEDRA MOLE,0.0,0.0,0.0,0.0,12.0,14.0,12.0,11.0,19.0,10.0,19.0,8.0,41.0,124.0,41.0,39.0,2021-04-01
BARRA DOS COQUEIROS,0.0,0.0,0.0,0.0,67.0,57.0,67.0,21.0,101.0,95.0,101.0,48.0,70.0,676.0,70.0,34.0,2021-04-01
DIVINA PASTORA,0.0,0.0,0.0,0.0,43.0,12.0,43.0,7.0,43.0,42.0,43.0,35.0,30.0,181.0,30.0,25.0,2021-04-01
SANTA ROSA DE LIMA,0.0,0.0,0.0,0.0,14.0,5.0,14.0,4.0,28.0,26.0,28.0,22.0,23.0,143.0,23.0,27.0,2021-04-01
SANTANA DO SAO FRANCISCO,0.0,0.0,0.0,0.0,11.0,15.0,11.0,12.0,28.0,25.0,28.0,23.0,46.0,185.0,46.0,30.0,2021-04-01
PACATUBA,0.0,0.0,0.0,0.0,34.0,29.0,34.0,18.0,41.0,36.0,41.0,32.0,54.0,427.0,54.0,47.0,2021-04-01
SALGADO,0.0,0.0,0.0,0.0,71.0,25.0,71.0,17.0,74.0,32.0,74.0,26.0,224.0,695.0,224.0,182.0,2021-04-01
RIBEIROPOLIS,0.0,0.0,0.0,0.0,56.0,48.0,56.0,32.0,106.0,62.0,106.0,53.0,305.0,734.0,305.0,213.0,2021-04-01
PEDRINHAS,0.0,0.0,0.0,0.0,21.0,12.0,21.0,7.0,19.0,21.0,19.0,19.0,23.0,227.0,23.0,12.0,2021-04-01
CAMPO DO BRITO,0.0,0.0,0.0,0.0,78.0,30.0,78.0,30.0,62.0,38.0,62.0,32.0,276.0,639.0,276.0,198.0,2021-04-01
CRISTINAPOLIS,0.0,0.0,0.0,0.0,51.0,51.0,51.0,30.0,52.0,50.0,52.0,34.0,5.0,181.0,5.0,4.0,2021-04-01
CANHOBA,0.0,0.0,0.0,0.0,9.0,14.0,9.0,6.0,17.0,34.0,17.0,18.0,6.0,109.0,6.0,8.0,2021-04-01
MALHADA DOS BOIS,0.0,0.0,0.0,0.0,11.0,9.0,11.0,6.0,24.0,28.0,24.0,24.0,9.0,100.0,9.0,7.0,2021-04-01
CARMOPOLIS,0.0,0.0,0.0,0.0,54.0,11.0,54.0,10.0,89.0,40.0,89.0,33.0,47.0,231.0,47.0,19.0,2021-04-01
SIRIRI,0.0,0.0,0.0,0.0,25.0,13.0,25.0,12.0,47.0,22.0,47.0,17.0,105.0,264.0,105.0,84.0,2021-04-01
NOSSA SENHORA DE LOURDES,0.0,0.0,0.0,0.0,28.0,10.0,28.0,10.0,21.0,32.0,21.0,28.0,59.0,235.0,59.0,47.0,2021-04-01
ITABI,0.0,0.0,0.0,0.0,16.0,12.0,16.0,11.0,21.0,28.0,21.0,18.0,58.0,206.0,58.0,39.0,2021-04-01
SAO FRANCISCO,0.0,0.0,0.0,0.0,10.0,10.0,10.0,7.0,12.0,17.0,12.0,13.0,26.0,116.0,26.0,12.0,2021-04-01
UMBAUBA,0.0,0.0,0.0,0.0,98.0,42.0,98.0,36.0,97.0,75.0,97.0,71.0,45.0,541.0,45.0,24.0,2021-04-01
ROSARIO DO CATETE,0.0,0.0,0.0,0.0,40.0,18.0,40.0,15.0,94.0,29.0,94.0,29.0,46.0,212.0,46.0,34.0,2021-04-01
CUMBE,0.0,0.0,0.0,0.0,12.0,7.0,12.0,5.0,17.0,26.0,17.0,23.0,28.0,165.0,28.0,25.0,2021-04-01
RIACHUELO,0.0,0.0,0.0,0.0,46.0,11.0,46.0,11.0,62.0,35.0,62.0,37.0,65.0,169.0,65.0,26.0,2021-04-01
GENERAL MAYNARD,0.0,0.0,0.0,0.0,24.0,9.0,24.0,8.0,22.0,18.0,22.0,14.0,22.0,98.0,22.0,13.0,2021-04-01
MURIBECA,0.0,0.0,0.0,0.0,26.0,23.0,26.0,14.0,32.0,20.0,32.0,13.0,38.0,235.0,38.0,35.0,2021-04-01
GRACHO CARDOSO,0.0,0.0,0.0,0.0,17.0,14.0,17.0,7.0,17.0,27.0,17.0,22.0,63.0,215.0,63.0,36.0,2021-04-01
FEIRA NOVA,0.0,0.0,0.0,0.0,10.0,7.0,10.0,6.0,23.0,16.0,23.0,15.0,45.0,151.0,45.0,34.0,2021-04-01
SAO DOMINGOS,0.0,0.0,0.0,0.0,27.0,17.0,27.0,10.0,54.0,19.0,54.0,16.0,109.0,424.0,109.0,101.0,2021-04-01
TELHA,0.0,0.0,0.0,0.0,13.0,9.0,13.0,6.0,22.0,31.0,22.0,22.0,11.0,77.0,11.0,9.0,2021-04-01
SANTO AMARO DAS BROTAS,0.0,0.0,0.0,0.0,23.0,13.0,23.0,10.0,63.0,34.0,63.0,30.0,89.0,233.0,89.0,56.0,2021-04-01
AMPARO DE SAO FRANCISCO,0.0,0.0,0.0,0.0,10.0,10.0,10.0,5.0,10.0,27.0,10.0,16.0,21.0,75.0,21.0,13.0,2021-04-01
NOSSA SENHORA DO SOCORRO,0.0,0.0,0.0,0.0,224.0,270.0,224.0,92.0,484.0,463.0,484.0,171.0,5316.0,5486.0,5316.0,3656.0,2021-05-01
LAGARTO,0.0,0.0,0.0,0.0,538.0,733.0,538.0,253.0,555.0,623.0,555.0,238.0,2973.0,4814.0,2973.0,2292.0,2021-05-01
CANINDE DE SAO FRANCISCO,0.0,0.0,0.0,0.0,48.0,124.0,48.0,19.0,112.0,171.0,112.0,67.0,648.0,1025.0,648.0,582.0,2021-05-01
MARUIM,0.0,0.0,0.0,0.0,34.0,19.0,34.0,16.0,107.0,89.0,107.0,50.0,522.0,632.0,522.0,382.0,2021-05-01
ARACAJU,4.0,3.0,4.0,2.0,4807.0,3303.0,4807.0,1566.0,6197.0,5403.0,6197.0,2202.0,11692.0,29823.0,11692.0,7484.0,2021-05-01
TOBIAS BARRETO,0.0,0.0,0.0,0.0,166.0,203.0,166.0,88.0,191.0,296.0,191.0,116.0,1938.0,2724.0,1938.0,1571.0,2021-05-01
LARANJEIRAS,0.0,0.0,0.0,0.0,47.0,410.0,47.0,16.0,169.0,546.0,169.0,70.0,422.0,936.0,422.0,342.0,2021-05-01
CAPELA,0.0,3.0,0.0,0.0,111.0,210.0,111.0,50.0,132.0,276.0,132.0,77.0,704.0,1482.0,704.0,611.0,2021-05-01
ESTANCIA,0.0,0.0,0.0,0.0,316.0,323.0,316.0,122.0,357.0,494.0,357.0,154.0,1718.0,3285.0,1718.0,1226.0,2021-05-01
MOITA BONITA,0.0,0.0,0.0,0.0,40.0,39.0,40.0,14.0,46.0,66.0,46.0,13.0,625.0,783.0,625.0,498.0,2021-05-01
TOMAR DO GERU,0.0,0.0,0.0,0.0,21.0,18.0,21.0,10.0,39.0,44.0,39.0,34.0,300.0,545.0,300.0,280.0,2021-05-01
ITABAIANINHA,0.0,0.0,0.0,0.0,78.0,120.0,78.0,41.0,101.0,130.0,101.0,57.0,1155.0,1748.0,1155.0,1023.0,2021-05-01
ITABAIANA,0.0,0.0,0.0,0.0,311.0,330.0,311.0,137.0,383.0,433.0,383.0,195.0,3090.0,4434.0,3090.0,2245.0,2021-05-01
NOSSA SENHORA DA GLORIA,0.0,1.0,0.0,1.0,87.0,99.0,87.0,39.0,130.0,160.0,130.0,77.0,908.0,1698.0,908.0,753.0,2021-05-01
FREI PAULO,0.0,0.0,0.0,0.0,67.0,82.0,67.0,34.0,42.0,78.0,42.0,25.0,632.0,777.0,632.0,498.0,2021-05-01
SAO MIGUEL DO ALEIXO,0.0,0.0,0.0,0.0,28.0,21.0,28.0,15.0,19.0,17.0,19.0,13.0,172.0,217.0,172.0,132.0,2021-05-01
BOQUIM,0.0,0.0,0.0,0.0,55.0,64.0,55.0,24.0,94.0,108.0,94.0,42.0,792.0,1330.0,792.0,670.0,2021-05-01
JAPOATA,0.0,0.0,0.0,0.0,58.0,147.0,58.0,21.0,57.0,160.0,57.0,25.0,344.0,676.0,344.0,325.0,2021-05-01
SIMAO DIAS,0.0,0.0,0.0,0.0,126.0,161.0,126.0,56.0,154.0,219.0,154.0,72.0,1401.0,2095.0,1401.0,1029.0,2021-05-01
POCO REDONDO,0.0,0.0,0.0,0.0,61.0,121.0,61.0,23.0,103.0,140.0,103.0,53.0,796.0,1237.0,796.0,729.0,2021-05-01
SANTA LUZIA DO ITANHY,0.0,0.0,0.0,0.0,28.0,414.0,28.0,15.0,55.0,458.0,55.0,30.0,264.0,592.0,264.0,275.0,2021-05-01
PINHAO,0.0,0.0,0.0,0.0,14.0,21.0,14.0,13.0,18.0,28.0,18.0,19.0,325.0,381.0,325.0,289.0,2021-05-01
AREIA BRANCA,0.0,0.0,0.0,0.0,49.0,48.0,49.0,27.0,89.0,94.0,89.0,42.0,502.0,805.0,502.0,421.0,2021-05-01
MONTE ALEGRE DE SERGIPE,0.0,0.0,0.0,0.0,57.0,26.0,57.0,23.0,44.0,39.0,44.0,36.0,407.0,604.0,407.0,388.0,2021-05-01
RIACHAO DO DANTAS,0.0,0.0,0.0,0.0,98.0,88.0,98.0,45.0,63.0,108.0,63.0,47.0,712.0,1062.0,712.0,581.0,2021-05-01
ITAPORANGA D'AJUDA,0.0,0.0,0.0,0.0,83.0,99.0,83.0,53.0,115.0,153.0,115.0,88.0,864.0,1540.0,864.0,727.0,2021-05-01
NEOPOLIS,0.0,0.0,0.0,0.0,60.0,51.0,60.0,36.0,145.0,109.0,145.0,79.0,632.0,912.0,632.0,549.0,2021-05-01
CEDRO DE SAO JOAO,0.0,0.0,0.0,0.0,45.0,30.0,45.0,22.0,24.0,24.0,24.0,20.0,242.0,337.0,242.0,165.0,2021-05-01
PORTO DA FOLHA,0.0,0.0,0.0,0.0,145.0,216.0,145.0,108.0,158.0,241.0,158.0,127.0,994.0,1436.0,994.0,900.0,2021-05-01
GARARU,0.0,0.0,0.0,0.0,20.0,14.0,20.0,9.0,45.0,51.0,45.0,48.0,391.0,634.0,391.0,393.0,2021-05-01
NOSSA SENHORA DAS DORES,0.0,0.0,0.0,0.0,164.0,111.0,164.0,58.0,121.0,154.0,121.0,88.0,1044.0,1414.0,1044.0,855.0,2021-05-01
